"modelid","ntree.int","mtry.int","nodesize.int","trainfrac"
"X-RF-221",25,2,3,0.45
"X-RF-222",86,1,1,0.45
"X-RF-223",278,3,4,0.35
"X-RF-224",55,3,1,0.65
"X-RF-225",126,2,9,0.6
"X-RF-226",253,3,4,0.35
"X-RF-227",279,3,3,0.45
"X-RF-228",279,1,2,0.3
"X-RF-229",281,3,4,0.65
"X-RF-230",259,1,1,0.35
"X-RF-231",246,1,5,0.3
"X-RF-232",197,1,1,0.4
"X-RF-233",264,1,1,0.45
"X-RF-234",195,3,1,0.4
"X-RF-235",97,2,2,0.7
"X-RF-236",122,2,3,0.3
"X-RF-237",283,3,4,0.4
"X-RF-238",90,3,6,0.6
"X-RF-239",108,1,7,0.65
"X-RF-240",201,2,3,0.3
"X-RF-241",275,2,3,0.35
"X-RF-242",15,2,7,0.35
"X-RF-243",75,1,5,0.35
"X-RF-244",221,1,6,0.55
"X-RF-245",126,3,5,0.45
"X-RF-246",20,3,5,0.55
"X-RF-247",149,1,1,0.7
"X-RF-248",213,3,4,0.7
"X-RF-249",274,1,2,0.6
"X-RF-250",149,3,7,0.65
"X-RF-251",44,3,3,0.6
"X-RF-252",81,2,4,0.7
"X-RF-253",217,2,4,0.7
"X-RF-254",19,3,8,0.45
"X-RF-255",141,3,8,0.4
"X-RF-256",190,1,4,0.35
"X-RF-257",295,2,2,0.6
"X-RF-258",211,2,8,0.4
"X-RF-259",279,3,2,0.5
"X-RF-260",87,3,1,0.3
"X-RF-261",33,3,3,0.5
"X-RF-262",267,3,2,0.4
"X-RF-263",177,3,1,0.65
"X-RF-264",129,2,8,0.45
"X-RF-265",120,1,6,0.65
"X-RF-266",205,3,6,0.55
"X-RF-267",283,1,5,0.4
"X-RF-268",215,2,4,0.3
"X-RF-269",134,2,4,0.65
"X-RF-270",284,3,7,0.7
"X-RF-271",185,2,9,0.45
"X-RF-272",212,1,1,0.4
"X-RF-273",160,3,2,0.7
"X-RF-274",15,3,3,0.3
"X-RF-275",175,2,4,0.4
"X-RF-276",270,2,6,0.4
"X-RF-277",142,2,7,0.6
"X-RF-278",290,2,3,0.7
"X-RF-279",67,3,2,0.7
"X-RF-280",115,1,3,0.55
"X-RF-281",165,3,4,0.3
"X-RF-282",45,2,8,0.7
"X-RF-283",27,3,4,0.7
"X-RF-284",61,2,9,0.55
"X-RF-285",286,3,6,0.5
"X-RF-286",281,3,1,0.3
"X-RF-287",212,3,6,0.6
"X-RF-288",249,1,4,0.65
"X-RF-289",215,2,1,0.6
"X-RF-290",88,2,4,0.65
"X-RF-291",17,2,5,0.35
"X-RF-292",278,1,6,0.35
"X-RF-293",250,1,8,0.45
"X-RF-294",246,1,1,0.55
"X-RF-295",10,1,6,0.5
"X-RF-296",179,1,5,0.4
"X-RF-297",20,1,2,0.3
"X-RF-298",158,1,6,0.35
"X-RF-299",39,2,9,0.35
"X-RF-300",299,2,7,0.35
"X-RF-301",144,3,2,0.6
"X-RF-302",110,2,1,0.45
"X-RF-303",23,2,7,0.4
"X-RF-304",103,3,4,0.4
"X-RF-305",48,3,9,0.35
"X-RF-306",214,3,7,0.55
"X-RF-307",212,2,2,0.7
"X-RF-308",122,2,6,0.65
"X-RF-309",140,2,2,0.65
"X-RF-310",58,2,5,0.5
"X-RF-311",247,2,1,0.45
"X-RF-312",277,2,8,0.35
"X-RF-313",14,2,7,0.5
"X-RF-314",216,3,1,0.4
"X-RF-315",200,3,2,0.3
"X-RF-316",273,2,2,0.6
"X-RF-317",187,1,6,0.3
"X-RF-318",98,2,7,0.3
"X-RF-319",209,2,4,0.6
"X-RF-320",104,2,4,0.5
"X-RF-321",202,2,8,0.35
"X-RF-322",278,1,8,0.4
"X-RF-323",130,2,7,0.3
"X-RF-324",176,3,4,0.35
"X-RF-325",129,3,6,0.5
"X-RF-326",168,2,8,0.3
"X-RF-327",157,2,3,0.55
"X-RF-328",144,3,5,0.7
"X-RF-329",74,3,7,0.35
"X-RF-330",63,3,1,0.55
"X-RF-331",269,2,1,0.55
"X-RF-332",47,3,8,0.4
"X-RF-333",29,3,2,0.4
"X-RF-334",87,2,2,0.4
"X-RF-335",93,3,4,0.45
"X-RF-336",205,1,3,0.65
"X-RF-337",123,2,1,0.65
"X-RF-338",88,2,1,0.65
"X-RF-339",140,2,3,0.6
"X-RF-340",294,2,4,0.35
"X-RF-341",113,3,5,0.5
"X-RF-342",211,2,6,0.55
"X-RF-343",281,2,8,0.7
"X-RF-344",48,1,4,0.35
"X-RF-345",259,3,9,0.45
"X-RF-346",65,1,1,0.6
"X-RF-347",215,2,7,0.7
"X-RF-348",225,2,3,0.6
"X-RF-349",98,3,3,0.7
"X-RF-350",215,2,4,0.4
"X-RF-351",53,3,1,0.7
"X-RF-352",149,1,5,0.3
"X-RF-353",86,2,4,0.7
"X-RF-354",116,1,2,0.5
"X-RF-355",237,1,7,0.5
"X-RF-356",205,2,8,0.55
"X-RF-357",59,1,7,0.3
"X-RF-358",283,3,2,0.7
"X-RF-359",286,1,8,0.3
"X-RF-360",194,3,1,0.6
"X-RF-361",216,2,5,0.7
"X-RF-362",100,2,4,0.3
"X-RF-363",216,3,2,0.7
"X-RF-364",151,2,2,0.7
"X-RF-365",255,2,3,0.4
"X-RF-366",151,3,4,0.35
"X-RF-367",159,2,9,0.65
"X-RF-368",209,3,4,0.65
"X-RF-369",111,3,9,0.3
"X-RF-370",66,2,3,0.7
"X-RF-371",35,2,3,0.6
"X-RF-372",198,3,8,0.7
"X-RF-373",235,2,8,0.45
"X-RF-374",126,3,7,0.65
"X-RF-375",159,3,3,0.4
"X-RF-376",91,1,9,0.65
"X-RF-377",237,1,7,0.65
"X-RF-378",55,3,7,0.7
"X-RF-379",37,3,5,0.55
"X-RF-380",250,1,9,0.4
"X-RF-381",239,2,5,0.4
"X-RF-382",265,1,2,0.6
"X-RF-383",234,2,2,0.45
"X-RF-384",248,3,4,0.55
"X-RF-385",147,3,4,0.45
"X-RF-386",120,2,5,0.35
"X-RF-387",67,2,8,0.6
"X-RF-388",212,3,4,0.35
"X-RF-389",242,3,3,0.3
"X-RF-390",72,3,6,0.55
"X-RF-391",205,2,7,0.65
"X-RF-392",203,2,8,0.65
"X-RF-393",277,1,8,0.5
"X-RF-394",133,1,8,0.65
"X-RF-395",42,1,2,0.55
"X-RF-396",102,3,4,0.7
"X-RF-397",180,2,7,0.3
"X-RF-398",178,2,6,0.5
"X-RF-399",99,1,8,0.5
"X-RF-400",152,1,5,0.35
"X-RF-401",117,1,3,0.45
"X-RF-402",239,2,8,0.45
"X-RF-403",128,3,8,0.55
"X-RF-404",23,3,8,0.35
"X-RF-405",77,3,6,0.35
"X-RF-406",164,2,8,0.7
"X-RF-407",75,2,8,0.7
"X-RF-408",222,2,3,0.3
"X-RF-409",180,3,3,0.5
"X-RF-410",198,2,4,0.35
"X-RF-411",107,3,4,0.55
"X-RF-412",242,1,1,0.6
"X-RF-413",82,2,3,0.45
"X-RF-414",161,2,8,0.35
"X-RF-415",82,2,1,0.65
"X-RF-416",171,1,9,0.65
"X-RF-417",294,2,3,0.3
"X-RF-418",244,1,1,0.45
"X-RF-419",264,1,1,0.7
"X-RF-420",69,2,6,0.7
"X-RF-421",218,1,5,0.3
"X-RF-422",83,3,7,0.6
"X-RF-423",46,3,4,0.35
"X-RF-424",151,1,7,0.45
"X-RF-425",43,2,5,0.4
"X-RF-426",119,1,6,0.3
"X-RF-427",130,1,5,0.7
"X-RF-428",194,1,2,0.65
"X-RF-429",177,3,1,0.65
"X-RF-430",65,3,4,0.35
"X-RF-431",21,1,9,0.65
"X-RF-432",164,2,2,0.65
"X-RF-433",101,1,2,0.4
"X-RF-434",258,2,8,0.4
"X-RF-435",102,3,1,0.5
"X-RF-436",177,3,7,0.5
"X-RF-437",91,3,3,0.55
"X-RF-438",160,1,9,0.3
"X-RF-439",47,2,1,0.55
"X-RF-440",228,1,9,0.65
"X-RF-441",217,3,7,0.6
"X-RF-442",34,2,8,0.35
"X-RF-443",247,2,5,0.35
"X-RF-444",288,1,2,0.7
"X-RF-445",83,3,7,0.6
"X-RF-446",26,2,6,0.5
"X-RF-447",64,1,2,0.5
"X-RF-448",299,1,3,0.55
"X-RF-449",54,1,3,0.4
"X-RF-450",189,1,5,0.55
"X-RF-451",288,1,8,0.65
"X-RF-452",278,3,6,0.3
"X-RF-453",57,1,9,0.55
"X-RF-454",265,2,1,0.3
"X-RF-455",34,1,5,0.4
"X-RF-456",145,3,6,0.7
"X-RF-457",20,1,8,0.3
"X-RF-458",265,3,8,0.45
"X-RF-459",121,3,8,0.55
"X-RF-460",214,3,1,0.45
"X-RF-461",108,3,3,0.4
"X-RF-462",277,2,8,0.7
"X-RF-463",54,1,1,0.35
"X-RF-464",179,2,7,0.35
"X-RF-465",273,1,1,0.3
"X-RF-466",215,2,9,0.3
"X-RF-467",236,2,8,0.5
"X-RF-468",205,3,5,0.5
"X-RF-469",256,1,9,0.4
"X-RF-470",281,2,9,0.5
"X-RF-471",212,3,7,0.35
"X-RF-472",132,2,8,0.6
"X-RF-473",284,3,7,0.6
"X-RF-474",164,2,8,0.45
"X-RF-475",256,3,1,0.6
"X-RF-476",82,1,2,0.55
"X-RF-477",27,1,9,0.35
"X-RF-478",85,2,6,0.3
"X-RF-479",37,3,1,0.35
"X-RF-480",31,3,1,0.3
"X-RF-481",127,3,9,0.3
"X-RF-482",262,1,3,0.45
"X-RF-483",228,3,7,0.6
"X-RF-484",73,3,9,0.35
"X-RF-485",74,3,1,0.4
"X-RF-486",144,3,8,0.55
"X-RF-487",106,2,8,0.6
"X-RF-488",269,3,1,0.7
"X-RF-489",106,2,1,0.4
"X-RF-490",120,3,1,0.5
"X-RF-491",151,1,5,0.6
"X-RF-492",156,3,4,0.45
"X-RF-493",23,1,6,0.4
"X-RF-494",228,3,6,0.3
"X-RF-495",86,2,8,0.65
"X-RF-496",133,1,3,0.5
"X-RF-497",117,3,1,0.45
"X-RF-498",128,3,2,0.55
"X-RF-499",283,3,2,0.4
"X-RF-500",272,1,5,0.7
